id;type;cat_title;URL;keyword;keywords_cons;keywords_pro
3;food;Баранина (кроме бескостного мяса);https://www.perekrestok.ru/catalog/myaso-ptitsa-delikatesy/baranina?;баран;фарш|без\s+кости|бескостн|нарез|филе|азу|гуляш|для\s+плова|бекон|медальоны|колбас|сосиск|сардельк|мякоть|бургер|купаты|эскалоп|шашлык|фрикадельк|б\s*/\s*к|мякоть;бара[нш]|грудинк|лопатк|на\s*кост(?:и|очке)|р[её]бр|тазоб[её]др|с\s+костью|корейка|окорок|седло|[сн]\s*/\s*к|голяшк|ше[яй]
3;food;Баранина (кроме бескостного мяса);https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ru/okmsk/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20;баран;фарш|без\s+кости|бескостн|нарез|филе|азу|гуляш|для\s+плова|бекон|медальоны|колбас|сосиск|сардельк|мякоть|бургер|купаты|эскалоп|шашлык|фрикадельк|б\s*/\s*к|мякоть;бара[нш]|грудинк|лопатк|на\s*кост(?:и|очке)|р[её]бр|тазоб[её]др|с\s+костью|корейка|окорок|седло|[сн]\s*/\s*к|голяшк|ше[яй]
3;food;Баранина (кроме бескостного мяса);https://www.utkonos.ru/cat/2294;баран;фарш|без\s+кости|бескостн|нарез|филе|азу|гуляш|для\s+плова|бекон|медальоны|колбас|сосиск|сардельк|мякоть|бургер|купаты|эскалоп|шашлык|фрикадельк|б\s*/\s*к|мякоть;бара[нш]|грудинк|лопатк|на\s*кост(?:и|очке)|р[её]бр|тазоб[её]др|с\s+костью|корейка|окорок|седло|[сн]\s*/\s*к|голяшк|ше[яй]
3;food;Баранина (кроме бескостного мяса);116.0;баран;фарш|без\s+кости|бескостн|нарез|филе|азу|гуляш|для\s+плова|бекон|медальоны|колбас|сосиск|сардельк|мякоть|бургер|купаты|эскалоп|шашлык|фрикадельк|б\s*/\s*к|мякоть;бара[нш]|грудинк|лопатк|на\s*кост(?:и|очке)|р[её]бр|тазоб[её]др|с\s+костью|корейка|окорок|седло|[сн]\s*/\s*к|голяшк|ше[яй]
4;food;Куры охлажденные и мороженые;https://online.globus.ru/search/?section_id=655&q=%D0%BA%D1%83%D1%80%D0%B8%D1%86%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64;кури[цн]|цыпл;бедр[оаы]|голен|крылышк|крылья|крыло|филе|грудка|окорочок|котлет|колбас|сосиск|чевапчич|набор|сердц|желудо?к|купат|стейк|шашлык|бургер|шарик|индейк|шницел|медальон|полуфабрик|азу|печень|корнишон|ассорти|окорок;
4;food;Куры охлажденные и мороженые;https://www.perekrestok.ru/catalog/myaso-ptitsa-delikatesy/myaso-ptitsy?attr%5B1878%5D%5B%5D=kuritsa;кури[цн]|цыпл;бедр[оаы]|голен|крылышк|крылья|крыло|филе|грудка|окорочок|котлет|колбас|сосиск|чевапчич|набор|сердц|желудо?к|купат|стейк|шашлык|бургер|шарик|индейк|шницел|медальон|полуфабрик|азу|печень|корнишон|ассорти|окорок;
4;food;Куры охлажденные и мороженые;https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ru/okmsk/miaso-ptitsa-kolbasy-16551-20/miaso-i-ptitsa-69069-20;кури[цн]|цыпл;бедр[оаы]|голен|крылышк|крылья|крыло|филе|грудка|окорочок|котлет|колбас|сосиск|чевапчич|набор|сердц|желудо?к|купат|стейк|шашлык|бургер|шарик|индейк|шницел|медальон|полуфабрик|азу|печень|корнишон|ассорти|окорок;
4;food;Куры охлажденные и мороженые;https://www.utkonos.ru/cat/9;кури[цн]|цыпл;бедр[оаы]|голен|крылышк|крылья|крыло|филе|грудка|окорочок|котлет|колбас|сосиск|чевапчич|набор|сердц|желудо?к|купат|стейк|шашлык|бургер|шарик|индейк|шницел|медальон|полуфабрик|азу|печень|корнишон|ассорти|окорок;
4;food;Куры охлажденные и мороженые;114.0;кури[цн]|цыпл;бедр[оаы]|голен|крылышк|крылья|крыло|филе|грудка|окорочок|котлет|колбас|сосиск|чевапчич|набор|сердц|желудо?к|купат|стейк|шашлык|бургер|шарик|индейк|шницел|медальон|полуфабрик|азу|печень|корнишон|ассорти|окорок;
5;food;Рыба мороженая неразделанная;https://online.globus.ru/search/?section_id=659&q=%D1%80%D1%8B%D0%B1%D0%B0&s=%D0%9D%D0%B0%D0%B9%D1%82%D0%B8&count=64 ;рыба;охл\.?|охлажд|филе|без\s+головы|без\s+кожи|б\s*/\s*г|креветк|миди|кальмар|варено|потр;
