cat_title,title,url
Говядина (кроме бескостного мяса),"говядина мясоет мраморная стейк рибай, top choice россия, 250 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-myasoet-mramornaya-stejjk-ribajj-top-choice-rossiya-250g/
Говядина (кроме бескостного мяса),"говядина мираторг рагу с/м пакет россия, 1000 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-glubokojj-zamorozki/subprodukty/govyadina-miratorg-ragu-sm-paket-rossiya-1000g/
Говядина (кроме бескостного мяса),говядина мираторг покромка вес россия,https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/govyadina/govyadina-miratorg-pokromka-ves-rossiya/
Говядина (кроме бескостного мяса),"говядина мираторг стейк рибай блэк ангус рвк охл россия, 320 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-miratorg-stejjk-ribajj-blek-angus-rvk-ohl-rossiya-320g/
Говядина (кроме бескостного мяса),говядина мираторг рибай зачищ кусок вес россия,https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/govyadina/govyadina-miratorg-ribajj-zachishch-kusok-ves-rossiya/
Говядина (кроме бескостного мяса),"говядина мясоет мраморная стейк даллас н/к, choice dry age 21 день россия, 500 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-myasoet-mramornaya-stejjk-dallas-nk-choice-dry-age-21-den-rossiya-500g/
Говядина (кроме бескостного мяса),"говядина эколь бефстроганов охл россия, 400 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-ekol-befstroganov-ohl-rossiya-400g/
Говядина (кроме бескостного мяса),"говядина эколь вырезка охл россия, 400 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-ekol-vyrezka-ohl-rossiya-400g/
Говядина (кроме бескостного мяса),"говядина эколь ребрышки охл россия, 400 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-ekol-rebryshki-ohl-rossiya-400g/
Говядина (кроме бескостного мяса),"говядина ремит отборная нар. в/к в/у россия, 150 г",https://lenta.com/catalog/myaso-ptica-kolbasa/produkty-myasnojj-pererabotki/delikatesy/govyadina-remit-otbornaya--nar-vk-vu-rossiya-150g/
Говядина (кроме бескостного мяса),"говядина останкино европейская в/к нар скин в/у россия, 150 г",https://lenta.com/catalog/myaso-ptica-kolbasa/produkty-myasnojj-pererabotki/delikatesy/govyadina-ostankino-evropejjskaya-vk-nar-skin-vu-rossiya-150g/
Говядина (кроме бескостного мяса),"говядина окраина вар. нар. россия, 150 г",https://lenta.com/catalog/funkcionalnoe-pitanie/produkty-myasnojj-pererabotki/dieticheskie-produkty/govyadina-okraina-var-nar-rossiya-150g/
Говядина (кроме бескостного мяса),"говядина эколь поджарка охл россия, 400 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-ekol-podzharka-ohl-rossiya-400g/
Говядина (кроме бескостного мяса),"говядина мираторг шницель рвк россия, 430 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-miratorg-shnicel-rvk-rossiya-430g/
Говядина (кроме бескостного мяса),"говядина мираторг стейк стриплойн блэк ангус рвк охл россия, 320 г",https://lenta.com/catalog/myaso-ptica-kolbasa/myaso-ohlazhdennoe/polufabrikaty-iz-govyadiny/govyadina-miratorg-stejjk-striplojjn-blek-angus-rvk-ohl-rossiya-320g/
Говядина (кроме бескостного мяса),"говядина лента к/в кат.а в/у россия, 400 г",https://lenta.com/catalog/myaso-ptica-kolbasa/kolbasnye-izdeliya/delikatesy-kopchjnye/govyadina-lenta-kv-kata-vu-rossiya-400g/
