cat_title,title,url
Телевизор цветного изображения,"led телевизор 32"" samsung ue32n4000au",https://www.eldorado.ru/cat/detail/led-televizor-samsung-ue32n4000au/
Телевизор цветного изображения,"led телевизор 32"" philips 32phs4032/60",https://www.eldorado.ru/cat/detail/led-televizor-philips-32phs4032-60/
Телевизор цветного изображения,"led телевизор 43"" haier le43k6000sf",https://www.eldorado.ru/cat/detail/led-televizor-haier-le43k6000sf/
Телевизор цветного изображения,"led телевизор 24"" haier le24k6500sa",https://www.eldorado.ru/cat/detail/led-televizor-haier-le24k6500sa/
Телевизор цветного изображения,"led телевизор 43"" samsung ue43j5272au",https://www.eldorado.ru/cat/detail/led-televizor-samsung-ue43j5272au/
Телевизор цветного изображения,"led телевизор 24"" samsung ue24h4070au",https://www.eldorado.ru/cat/detail/led-televizor-samsung-ue24h4070au/
"Радиоприемные устройства, включая звукозаписывающую или звуковоспроизводящую аппаратуру",часы с радио ritmix rrc-910qi black,https://www.eldorado.ru/cat/detail/chasy-s-radio-ritmix-rrc-910qi-black/
"Радиоприемные устройства, включая звукозаписывающую или звуковоспроизводящую аппаратуру",часы с радио ritmix rrc-616 black,https://www.eldorado.ru/cat/detail/chasy-s-radio-ritmix-rrc-616-black/
"Радиоприемные устройства, включая звукозаписывающую или звуковоспроизводящую аппаратуру",часы с радио ritmix rrc-616 white,https://www.eldorado.ru/cat/detail/chasy-s-radio-ritmix-rrc-616-white/
"Радиоприемные устройства, включая звукозаписывающую или звуковоспроизводящую аппаратуру",часы с радио telefunken tf-1596 white,https://www.eldorado.ru/cat/detail/chasy-s-radio-telefunken-tf-1596-white/
"Радиоприемные устройства, включая звукозаписывающую или звуковоспроизводящую аппаратуру",часы с радио vitek vt-6602 black,https://www.eldorado.ru/cat/detail/chasy-s-radio-vitek-vt-6602-black/
"Радиоприемные устройства, включая звукозаписывающую или звуковоспроизводящую аппаратуру",радиоприемник telefunken tf-1668,https://www.eldorado.ru/cat/detail/radio-telefunken-tf-1668/
Холодильники и морозильники бытовые,холодильник haier c3f532cwg,https://www.eldorado.ru/cat/detail/kholodilnik-haier-c3f532cwg/
Холодильники и морозильники бытовые,холодильник lg doorcooling+ ga-b459sekl,https://www.eldorado.ru/cat/detail/kholodilnik-lg-doorcooling-ga-b459sekl/
Холодильники и морозильники бытовые,холодильник hotpoint-ariston hfp 6200 x,https://www.eldorado.ru/cat/detail/holodilnik-hotpoint-ariston-hfp-6200-x/
Холодильники и морозильники бытовые,холодильник hotpoint-ariston hf 4200 w,https://www.eldorado.ru/cat/detail/kholodilnik-hotpoint-ariston-hf-4200-w/
Холодильники и морозильники бытовые,холодильник indesit itd 125 w,https://www.eldorado.ru/cat/detail/kholodilnik-indesit-itd-125-w/
Холодильники и морозильники бытовые,холодильник beko rcsk 335m20 w,https://www.eldorado.ru/cat/detail/holodilnik-beko-rcsk-335m20-w/
Машины стиральные,стиральная машина indesit bwsd 51051,https://www.eldorado.ru/cat/detail/stiralnaja-mashina-indesit-bwsd-51051/
Машины стиральные,стиральная машина hotpoint-ariston vmsf 6013 b,https://www.eldorado.ru/cat/detail/stiralnaya-mashina-hotpoint-ariston-vmsf-6013-b/
Машины стиральные,стиральная машина samsung ww70j52e04w,https://www.eldorado.ru/cat/detail/stiralnaja-mashina-samsung-ww70j52e04w/
Машины стиральные,стиральная машина lg f12m7hds3,https://www.eldorado.ru/cat/detail/stiralnaya-mashina-lg-f12m7hds3/
Машины стиральные,стиральная машина hotpoint-ariston rsm 601 w,https://www.eldorado.ru/cat/detail/stiralnaja-mashina-hotpoint-ariston-rsm-601-w/
Машины стиральные,стиральная машина beko ele 67511 zsw,https://www.eldorado.ru/cat/detail/stiralnaja-mashina-beko-ele-67511-zsw/
