cat_title,title,url
Говядина (кроме бескостного мяса),говядина мираторг по-европейки копчено-вареная 360г,https://perekrestok.ru/catalog/myaso-ptitsa-delikatesy/delikatesy-i-kopchenosti/mirat-govyad-po-evrop-kv-360g--695519
Говядина (кроме бескостного мяса),говядина натурбуфет вок с рисом и сладким перцем 250г,https://perekrestok.ru/catalog/podborki/gotovye-blyuda-ohlajdennye/naturbufet-govyadina-vok-rissl-perts-250g--315764
Говядина (кроме бескостного мяса),говядина ремит отборная копчено-вареная 150г,https://perekrestok.ru/catalog/myaso-ptitsa-delikatesy/delikatesy-i-kopchenosti/remit-govyad-otb-kv-kat-a-150g--379432
Говядина (кроме бескостного мяса),говядина невская трапеза варено-копченая,https://perekrestok.ru/catalog/myaso-ptitsa-delikatesy/delikatesy-i-kopchenosti/nevsk-trap-govyadina-muskat-vk-vu-1kg--508810
Говядина (кроме бескостного мяса),говядина мясной дом бородина слободская копчено-вареная,https://perekrestok.ru/catalog/myaso-ptitsa-delikatesy/delikatesy-i-kopchenosti/mdb-govyad-slobodsk-prod-kv-1kg--378615
Говядина (кроме бескостного мяса),говядина самсон для вторых блюд 400г,https://perekrestok.ru/catalog/myaso-ptitsa-delikatesy/govyadina/samson-govyad-dvtor-bl-ohl-400g--535411
Говядина (кроме бескостного мяса),толстый край говядина на кости,https://perekrestok.ru/catalog/myaso-ptitsa-delikatesy/govyadina/spts-tolstyy-kray-govyadina-1kg--670633
Говядина (кроме бескостного мяса),говядина мясной дом бородина слободская 300г,https://perekrestok.ru/catalog/myaso-ptitsa-delikatesy/delikatesy-i-kopchenosti/mdb-govyad-slobodskaya-kv-300g--692095
Говядина (кроме бескостного мяса),говядина мясной дом бородина сырокопченая 95г,https://perekrestok.ru/catalog/myaso-ptitsa-delikatesy/delikatesy-i-kopchenosti/mdb-govyadina-sk-kat-a-nar-95g--705210
Говядина (кроме бескостного мяса),шницель говяжий мираторг 430г,https://perekrestok.ru/catalog/myaso-ptitsa-delikatesy/govyadina/miratorg-shnitsel-iz-govyadiny-ohl-430g--316477
Говядина (кроме бескостного мяса),стейк говяжий мираторг black angus стриплойн 320г,https://perekrestok.ru/catalog/myaso-ptitsa-delikatesy/govyadina/miratorg-striployn-steyk-gov-pf-320g--310290
Говядина (кроме бескостного мяса),стейк говяжий мираторг black angus баффало 390г,https://perekrestok.ru/catalog/myaso-ptitsa-delikatesy/govyadina/mirat-steyk-bl-ang-baf-gov-390g--512153
Говядина (кроме бескостного мяса),сердце говяжье мираторг 0.9-1.1кг,https://perekrestok.ru/catalog/myaso-ptitsa-delikatesy/subprodukty/miratorg-serdtse-govyajya-ohl-vu-1kg--314740
Говядина (кроме бескостного мяса),стейк говяжий мираторг black angus вегас 480г,https://perekrestok.ru/catalog/myaso-ptitsa-delikatesy/govyadina/mirat-steyk-v-sk-bl-ang-gov480g--479768
Говядина (кроме бескостного мяса),стейк говяжий мираторг black angus денвер 290г,https://perekrestok.ru/catalog/myaso-ptitsa-delikatesy/govyadina/mirat-steyk-b-an-denv-gov-290g--450921
Свинина (кроме бескостного мяса),свинина лужский кз тушеная 338г,https://perekrestok.ru/catalog/konservy-orehi-sousy/myasnye-konservy/lujsk-svinina-tush-vs-gost-338g--355899
Свинина (кроме бескостного мяса),свинина бахрушинъ гурман запеченная 100г,https://perekrestok.ru/catalog/myaso-ptitsa-delikatesy/delikatesy-i-kopchenosti/bahr-svinina-gurman-nar-100g--447401
