id,cat_title,url
62,Телевизор цветного изображения,https://www.eldorado.ru/c/televizory/
74,Машины стиральные,https://www.eldorado.ru/c/stiralnye-mashiny/
73,Холодильники и морозильники бытовые,https://www.eldorado.ru/c/kholodilniki/
75,Электропылесосы,https://www.eldorado.ru/c/pylesosy/
